2024-06-23 23:06:101 INFO  LoginPage :56 - Enter User Name: Admin
2024-06-23 23:06:426 INFO  LoginPage :66 - Enter Password: admin123
2024-06-23 23:06:527 INFO  LoginPage :61 - Clicking on Login Button: [[ChromeDriver: chrome on windows (a1cd9dccc9e11beb1ab7b7aee29ae99a)] -> xpath: //button[@type='submit']]
2024-06-23 23:06:627 INFO  DashboardPage :37 - Verifying Dashboard Page: [[ChromeDriver: chrome on windows (a1cd9dccc9e11beb1ab7b7aee29ae99a)] -> xpath: //div[@class='oxd-topbar-header']/div[1]/span[1]/h6[1]]
2024-06-23 23:06:795 INFO  LoginPage :56 - Enter User Name: Admin
2024-06-23 23:06:687 INFO  LoginPage :56 - Enter User Name: Admin
2024-06-23 23:06:04 INFO  LoginPage :66 - Enter Password: admin123
2024-06-23 23:06:109 INFO  LoginPage :61 - Clicking on Login Button: [[ChromeDriver: chrome on windows (cd880b0d3760cac5ebcd6319b099e9b2)] -> xpath: //button[@type='submit']]
2024-06-24 23:06:802 INFO  LoginPage :41 - Enter User Name: Admin
2024-06-24 23:06:139 INFO  LoginPage :51 - Enter Password: admin123
2024-06-24 23:06:267 INFO  LoginPage :46 - Clicking on Login Button: [[ChromeDriver: chrome on windows (7c845bc307d42d87cc58b930e9876d96)] -> xpath: //button[@type='submit']]
2024-06-24 23:06:271 INFO  DashboardPage :36 - Verifying Dashboard Page: [[ChromeDriver: chrome on windows (7c845bc307d42d87cc58b930e9876d96)] -> xpath: //div[@class='oxd-topbar-header']/div[1]/span[1]/h6[1]]
2024-06-24 23:06:970 INFO  LoginPage :41 - Enter User Name: Admin
2024-06-24 23:06:326 INFO  LoginPage :51 - Enter Password: admin123
2024-06-24 23:06:446 INFO  LoginPage :46 - Clicking on Login Button: [[ChromeDriver: chrome on windows (0b4070f5d9f9c83aa67320a9a00885c3)] -> xpath: //button[@type='submit']]
2024-06-24 23:06:472 INFO  DashboardPage :41 - Verifying Orange HRM Logo: [[ChromeDriver: chrome on windows (0b4070f5d9f9c83aa67320a9a00885c3)] -> xpath: //img[@alt='client brand banner']]
2024-06-24 23:06:208 INFO  LoginPage :41 - Enter User Name: Admin
2024-06-24 23:06:565 INFO  LoginPage :51 - Enter Password: admin123
2024-06-24 23:06:678 INFO  LoginPage :46 - Clicking on Login Button: [[ChromeDriver: chrome on windows (08a4353ac43e3d9f15c8db7e51b8b11d)] -> xpath: //button[@type='submit']]
2024-06-24 23:06:871 INFO  DashboardPage :27 - Clicking on user profile logo : [[ChromeDriver: chrome on windows (08a4353ac43e3d9f15c8db7e51b8b11d)] -> xpath: //img[@class='oxd-userdropdown-img']]
2024-06-24 23:06:536 INFO  DashboardPage :32 - Clicking on logout link : [[ChromeDriver: chrome on windows (08a4353ac43e3d9f15c8db7e51b8b11d)] -> xpath: //a[normalize-space()='Logout']]
2024-06-24 23:06:435 INFO  LoginPage :41 - Enter User Name: 
2024-06-24 23:06:806 INFO  LoginPage :51 - Enter Password: 
2024-06-24 23:06:887 INFO  LoginPage :46 - Clicking on Login Button: [[ChromeDriver: chrome on windows (eb496b4445671d0e025052ab2d7a7122)] -> xpath: //button[@type='submit']]
2024-06-24 23:06:958 INFO  LoginPage :57 - Getting username field blank error message : [[ChromeDriver: chrome on windows (eb496b4445671d0e025052ab2d7a7122)] -> xpath: //div[@class='orangehrm-login-slot-wrapper']//div[1]//div[1]//span[1]]
2024-06-24 23:06:934 INFO  LoginPage :41 - Enter User Name: test123@gmail.com
2024-06-24 23:06:333 INFO  LoginPage :51 - Enter Password: 
2024-06-24 23:06:431 INFO  LoginPage :46 - Clicking on Login Button: [[ChromeDriver: chrome on windows (533553b6de3f20574ca98c8006a3ae98)] -> xpath: //button[@type='submit']]
2024-06-24 23:06:499 INFO  LoginPage :62 - Getting password field blank error message : [[ChromeDriver: chrome on windows (533553b6de3f20574ca98c8006a3ae98)] -> xpath: //span[@class='oxd-text oxd-text--span oxd-input-field-error-message oxd-input-group__message']]
2024-06-24 23:06:145 INFO  LoginPage :41 - Enter User Name: 
2024-06-24 23:06:469 INFO  LoginPage :51 - Enter Password: test123
2024-06-24 23:06:589 INFO  LoginPage :46 - Clicking on Login Button: [[ChromeDriver: chrome on windows (2529b2640bb48e610762d0ce98f6051b)] -> xpath: //button[@type='submit']]
2024-06-24 23:06:653 INFO  LoginPage :57 - Getting username field blank error message : [[ChromeDriver: chrome on windows (2529b2640bb48e610762d0ce98f6051b)] -> xpath: //div[@class='orangehrm-login-slot-wrapper']//div[1]//div[1]//span[1]]
2024-06-24 23:06:340 INFO  LoginPage :41 - Enter User Name: test123@gmail.com
2024-06-24 23:06:764 INFO  LoginPage :51 - Enter Password: test123
2024-06-24 23:06:877 INFO  LoginPage :46 - Clicking on Login Button: [[ChromeDriver: chrome on windows (99bca35541ae8383ebccc20fe30e5aa5)] -> xpath: //button[@type='submit']]
2024-06-24 23:06:550 INFO  LoginPage :67 - Getting invalid credential error message : [[ChromeDriver: chrome on windows (99bca35541ae8383ebccc20fe30e5aa5)] -> xpath: //p[@class='oxd-text oxd-text--p oxd-alert-content-text']]
2024-06-24 23:06:133 INFO  LoginPage :41 - Enter User Name: Admin
2024-06-24 23:06:508 INFO  LoginPage :51 - Enter Password: admin123
2024-06-24 23:06:632 INFO  LoginPage :46 - Clicking on Login Button: [[ChromeDriver: chrome on windows (5b844fc8ac4a93d018490e7906ce848e)] -> xpath: //button[@type='submit']]
2024-06-24 23:06:820 INFO  HomePage :37 - Clicking on Admin link : [[ChromeDriver: chrome on windows (5b844fc8ac4a93d018490e7906ce848e)] -> xpath: //li[1]//a[1]//span[1]]
2024-06-24 23:06:66 INFO  ViewSystemUsersPage :112 - Verifying System User Text: [[ChromeDriver: chrome on windows (5b844fc8ac4a93d018490e7906ce848e)] -> xpath: //h5[@class='oxd-text oxd-text--h5 oxd-table-filter-title']]
2024-06-24 23:06:113 INFO  ViewSystemUsersPage :117 - Clicking on Add button: [[ChromeDriver: chrome on windows (5b844fc8ac4a93d018490e7906ce848e)] -> xpath: //button[@class='oxd-button oxd-button--medium oxd-button--secondary']]
2024-06-24 23:06:669 INFO  ViewSystemUsersPage :122 - Verifying User added text: Add User
2024-06-24 23:06:697 INFO  AddUserPage :23 - Clicking on UserRole drop-down : [[ChromeDriver: chrome on windows (5b844fc8ac4a93d018490e7906ce848e)] -> xpath: (//div[@class = 'oxd-select-wrapper'])[1]]
2024-06-24 23:06:841 INFO  AddUserPage :28 - Clicking on Admin option in UserRole drop-down : [[ChromeDriver: chrome on windows (5b844fc8ac4a93d018490e7906ce848e)] -> xpath: //span[contains(text(),'Admin')]]
2024-06-24 23:06:935 INFO  ViewSystemUsersPage :128 - Entering Employee name: Proxy element for: DefaultElementLocator 'By.xpath: //*[@class='oxd-autocomplete-wrapper']//*[contains(text(),'Ranga  Akunuri')]'
2024-06-24 23:06:112 INFO  ViewSystemUsersPage :135 - Entering User: [[ChromeDriver: chrome on windows (5b844fc8ac4a93d018490e7906ce848e)] -> xpath: //div[@class='oxd-form-row']/div[1]/div[4]/div[1]/div[2]/input[1]]
2024-06-24 23:06:213 INFO  ViewSystemUsersPage :140 - Selecting Status Disable: Proxy element for: DefaultElementLocator 'By.xpath: //*[@class='oxd-select-wrapper']//*[contains(text(),'Disabled')]'
2024-06-24 23:06:350 INFO  ViewSystemUsersPage :149 - Entering Password: [[ChromeDriver: chrome on windows (5b844fc8ac4a93d018490e7906ce848e)] -> xpath: //div[@class='orangehrm-card-container']/form[1]/div[2]/div[1]/div[1]/div[1]/div[2]/input[1]]
2024-06-24 23:06:419 INFO  ViewSystemUsersPage :154 - Entering Confirm Password: [[ChromeDriver: chrome on windows (5b844fc8ac4a93d018490e7906ce848e)] -> xpath: //div[@class='orangehrm-card-container']/form[1]/div[2]/div[1]/div[2]/div[1]/div[2]/input[1]]
2024-06-24 23:06:489 INFO  ViewSystemUsersPage :159 - Clicking on Save: [[ChromeDriver: chrome on windows (5b844fc8ac4a93d018490e7906ce848e)] -> xpath: //button[@class='oxd-button oxd-button--medium oxd-button--secondary orangehrm-left-space']]
2024-06-24 23:06:847 INFO  ViewSystemUsersPage :164 - Getting User Added Successfully message : [[ChromeDriver: chrome on windows (5b844fc8ac4a93d018490e7906ce848e)] -> xpath: //p[@class='oxd-text oxd-text--p oxd-text--toast-message oxd-toast-content-text']]
2024-06-24 23:06:527 INFO  LoginPage :41 - Enter User Name: Admin
2024-06-24 23:06:969 INFO  LoginPage :51 - Enter Password: admin123
2024-06-24 23:06:278 INFO  LoginPage :46 - Clicking on Login Button: [[ChromeDriver: chrome on windows (b31e9036559b5ce81eff3a5ecf2cc170)] -> xpath: //button[@type='submit']]
2024-06-24 23:06:324 INFO  HomePage :37 - Clicking on Admin link : [[ChromeDriver: chrome on windows (b31e9036559b5ce81eff3a5ecf2cc170)] -> xpath: //li[1]//a[1]//span[1]]
2024-06-24 23:06:677 INFO  ViewSystemUsersPage :112 - Verifying System User Text: [[ChromeDriver: chrome on windows (b31e9036559b5ce81eff3a5ecf2cc170)] -> xpath: //h5[@class='oxd-text oxd-text--h5 oxd-table-filter-title']]
2024-06-24 23:06:778 INFO  ViewSystemUsersPage :171 - Enter nishit86 to User Name field : [[ChromeDriver: chrome on windows (b31e9036559b5ce81eff3a5ecf2cc170)] -> xpath: //div[@class='oxd-input-group oxd-input-field-bottom-space']//div//input[@class='oxd-input oxd-input--active']]
2024-06-24 23:06:795 INFO  ViewSystemUsersPage :175 - Clicking on UserRole drop-down : [[ChromeDriver: chrome on windows (b31e9036559b5ce81eff3a5ecf2cc170)] -> xpath: //div[@class='oxd-table-filter-area']//div[2]//div[1]//div[2]//div[1]//div[1]//div[1]]
2024-06-24 23:06:855 INFO  ViewSystemUsersPage :180 - Clicking on Admin option in UserRole drop-down : [[ChromeDriver: chrome on windows (b31e9036559b5ce81eff3a5ecf2cc170)] -> xpath: //span[contains(text(),'Admin')]]
2024-06-24 23:06:80 INFO  ViewSystemUsersPage :191 - Clicking on Status drop-down : [[ChromeDriver: chrome on windows (b31e9036559b5ce81eff3a5ecf2cc170)] -> xpath: (//i)[13]]
2024-06-24 23:06:228 INFO  ViewSystemUsersPage :196 - Clicking on Disable option in Status drop-down : [[ChromeDriver: chrome on windows (b31e9036559b5ce81eff3a5ecf2cc170)] -> xpath: //span[normalize-space()='Disabled']]
2024-06-24 23:06:287 INFO  ViewSystemUsersPage :206 - Clicking on Search button : [[ChromeDriver: chrome on windows (b31e9036559b5ce81eff3a5ecf2cc170)] -> xpath: //button[normalize-space()='Search']]
2024-06-24 23:06:493 INFO  ViewSystemUsersPage :215 - Getting UserName from record : [[ChromeDriver: chrome on windows (b31e9036559b5ce81eff3a5ecf2cc170)] -> xpath: (//div[@data-v-6c07a142])[1]]
2024-06-24 23:06:207 INFO  LoginPage :41 - Enter User Name: Admin
2024-06-24 23:06:575 INFO  LoginPage :51 - Enter Password: admin123
2024-06-24 23:06:723 INFO  LoginPage :46 - Clicking on Login Button: [[ChromeDriver: chrome on windows (9cbeca01b0862823c2a4ec0d220a153d)] -> xpath: //button[@type='submit']]
2024-06-24 23:06:615 INFO  HomePage :37 - Clicking on Admin link : [[ChromeDriver: chrome on windows (9cbeca01b0862823c2a4ec0d220a153d)] -> xpath: //li[1]//a[1]//span[1]]
